视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数
最能吃苦的一代人，慢慢要退出历史的舞台了,https://www.bilibili.com/video/BV1Ts421u7Wf,点又米,585324,593,6425,220916,306,11172
影视飓风为什么不常做HDR？,https://www.bilibili.com/video/BV1hZ421g7xC,影视飓风,867673,3195,20036,72814,1891,9979
自己两个兄弟都当过老大，为啥只有自己没当过？,https://www.bilibili.com/video/BV1Fz42187Pp,The梁某人,1145960,4468,9524,79108,1501,11712
全程回顾（上）陶喆张韶涵引全场大合唱《永远22！2024bilibili毕业歌会》,https://www.bilibili.com/video/BV13w4m1S767,哔哩哔哩毕业歌会,6278200,4540,6176,17093,4741,7046
聆听你的安眠曲吧,https://www.bilibili.com/video/BV1Pw4m1i7B5,狙击手赛罗酱,1000795,316,3324,200324,2854,14830
一个粽子竟害得宿舍离心…是南北差异的影响吗,https://www.bilibili.com/video/BV1Mr421w7L1,单易之,2012570,1341,1939,137670,4313,8314
火柴人短片系列 - 升级,https://www.bilibili.com/video/BV1Nm421L7yy,火柴人AlanBecker,1597896,1222,4451,160876,598,10558
小伙子你开什么车啊？,https://www.bilibili.com/video/BV1XJ4m1M7xt,薪儿姐师尊,1868893,8888,22636,169063,35102,17379
"我的世界-社会实验：40名玩家在MC模拟""咒术回战""文明！",https://www.bilibili.com/video/BV1wm421L7fz,M仔B,1141441,910,11862,34688,571,41657
四 极 反 转,https://www.bilibili.com/video/BV1jD421u7uh,敲萌豹风党,2039341,1035,8267,197796,1063,27665
食人魔杀疯了！女警切片，人体树花，殿堂级杀人艺术《汉尼拔》,https://www.bilibili.com/video/BV1Uz421h7RE,正经的瓜皮酱,829896,5025,30170,54313,1373,12646
只需30秒，你竟然发明了索道桥,https://www.bilibili.com/video/BV1mw4m1v7PN,阿鹏哥哥探结构,1250294,384,1052,158140,406,11554
教导主任，你干什么吃的！！这么多情侣不抓？留着过年吗？,https://www.bilibili.com/video/BV141421C781,个大活人,1721881,1606,7754,201556,3672,26454
在现实中！氪金武器真的很强吗？价值六万元的电影手枪！,https://www.bilibili.com/video/BV1vm421V7P5,老李船长,779738,2971,27213,70444,1320,10971
遮遮掩掩，父母怕什么？不明说呢？,https://www.bilibili.com/video/BV1A7421d71h,侃木头哦,797070,476,5200,94795,5001,21837
小狗：妈 我真长这样？,https://www.bilibili.com/video/BV1iE421P7Nb,小花花的每一天_,823535,252,1081,147161,7731,20147
远亲不如近邻！,https://www.bilibili.com/video/BV1JM4m1S71L,派小轩,972921,400,3091,103292,447,2374
【屑肚子】喜欢大姐姐是你的宿命,https://www.bilibili.com/video/BV1P4421Q7TW,屑度子,686029,275,4057,107572,2116,46566
《现在是大AI时代》,https://www.bilibili.com/video/BV1mz421b7a1,嘞是唐孃孃,933862,814,729,130548,665,6459
