弹幕所在位置,弹幕内容,弹幕发布时间
01:21,"""云上五骁の小曲""",2023-10-10 12:25:59
01:51,"""排面！""",2023-10-10 12:27:13
00:42,"""有缘就出，最好能和托帕一起来鸭！""",2023-10-10 12:27:42
00:21,"""小保底一定要出啊！""",2023-10-10 12:27:48
01:36,"""如果把冰都震碎那将是绝杀""",2023-10-10 12:27:56
01:12,"""她真好看""",2023-10-10 12:28:25
01:14,"""太美了太美了""",2023-10-10 12:28:53
01:25,"""bgm也太好听了""",2023-10-10 12:29:29
00:35,"""这个收剑的动作把我帅飞了""",2023-10-10 12:29:30
01:51,"""杜老师人美，配的音也美。""",2023-10-10 12:29:57
01:24,"""云上五骁の小曲""",2023-10-10 12:30:16
01:26,"""照彻万川！""",2023-10-10 12:30:51
01:28,"""照彻万川！！！这句配得绝了！！cv牛啊""",2023-10-10 12:30:51
00:06,"""mhy一款年轻人的整点报时器""",2023-10-10 12:31:02
01:03,"""飞光主题的变奏""",2023-10-10 12:32:08
01:13,"""月下美人wakuwaku""",2023-10-10 12:32:24
00:39,"""牛啊，斩却自我以抗魔阴，颇有修仙那味""",2023-10-10 12:33:20
00:45,"""这个背手刺剑跟罗刹好像""",2023-10-10 12:33:32
01:07,"""冰人应该是云五，还看到个饮月""",2023-10-10 12:33:55
00:02,"""剑出！影随！""",2023-10-10 12:35:21
01:40,"""那些冰雕都是刃吧""",2023-10-10 12:36:15
01:52,"""列车组众人：阿嚏！""",2023-10-10 12:40:34
00:09,"""月下飞天镜，云生结海楼""",2023-10-10 12:42:15
01:44,"""中配的感觉和音乐好搭，月光下的感觉""",2023-10-10 12:43:35
00:02,"""米哈游，一款当代年轻人的准点报时器""",2023-10-10 12:47:29
01:30,"""照彻万川这句话太好听了！！""",2023-10-10 12:47:34
00:41,"""在现场，我是手""",2023-10-10 12:49:02
00:56,"""空间斩五条悟""",2023-10-10 12:49:02
00:36,"""镜流光锥不歪，玩到关服！！！""",2023-10-10 12:50:29
00:59,"""这段是小提琴，还没到二胡""",2023-10-10 12:51:13
01:49,"""我已经0.5倍速看了三遍了""",2023-10-10 12:51:20
01:36,"""穿刺大公""",2023-10-10 12:52:05
00:34,"""剑心，一剑本无心，心亦剑者之心""",2023-10-10 12:52:37
01:05,"""最左侧的冰雕是以前的镜流？""",2023-10-10 12:52:49
00:03,"""今夜明珠色，当随满月开！""",2023-10-10 12:53:28
01:29,"""好喜欢这句“照彻万川”""",2023-10-10 12:53:32
01:00,"""云五的小曲""",2023-10-10 12:55:04
00:34,"""收剑这一下确实好看""",2023-10-10 12:56:25
01:34,"""这冰椎上挂着的是云五吗（）""",2023-10-10 12:59:22
01:22,"""云五专属小曲！""",2023-10-10 13:00:53
01:46,"""碎星将军-镜流""",2023-10-10 13:01:42
01:49,"""她好美""",2023-10-10 13:02:27
00:16,"""月下飞天镜，云生结海楼""",2023-10-10 13:04:55
00:16,"""好美好美我去，我仅有的溢美之词完全无法展示她的风姿""",2023-10-10 13:07:01
