标题,描述,BV号,播放量,弹幕,评论,时长,上传时间
《崩坏：星穹铁道》 2.1版本「狂热奔向深渊」前瞻特别节目,"《崩坏：星穹铁道》 2.1版本「狂热奔向深渊」将于2024年3月27日上线，感谢开拓者的支持与陪伴~

本次特别节目中的一切人物、故事、设定仅为节目包装，均与《崩坏：星穹铁道》原作无关，展示画面与奖励等均为研发中内容，非最终上线版本，请以上线版本为准。
兑换码将于3月17日 23:59:59失效，记得尽快兑换哦~",BV1eD421E7Vi,2951773,55884,11376,80:55,2024-03-16
《崩坏：星穹铁道》2.1版本PV：「狂热奔向深渊」,"在欢庆中泪湿，哀悼中欢笑，于最辛酸的糖浆中品出狂人的美梦。

中文CV：
加拉赫——马语非
黄泉——菊花花
砂金——杨超然

日文CV：
加拉赫——三上哲
黄泉——泽城美雪
砂金——河西健吾

英文CV：
加拉赫——Erik Braa
黄泉——Allegra Clark
砂金——Camden Sutkowski

韩文CV：
加拉赫——박상훈
黄泉——박지윤
砂金——박준원",BV1Hr421n7h1,4905844,9585,9649,11:53,2024-03-16
《崩坏：星穹铁道》走近星穹——「花火：技能解说稿（标题记得改）」,"原来视频简介还要主持人自己来写，好麻烦啊随便填点什么好了。敬请收看星际和平娱乐特别节目《走近星穹》——「花火：技能解说稿（标题记得改）」。

中文CV：
叽米——刘北辰
桑博——刘圣博
花火——赵爽",BV1oZ421C73X,2823683,9034,7659,07:15,2024-02-29
《崩坏：星穹铁道》花火角色PV——「独角戏」,"「这世界上根本没有不麻烦的人哦？」

「陪我一起把全部都搅乱的话，我就让你成为我的东西吧。」

中文CV：
花火——赵爽

日文CV：
花火——上田丽奈

英文CV：
花火——Lizzie Freeman

韩文CV：
花火——성예원",BV1mW421A7nM,12567331,30936,35897,08:21,2024-02-28
《崩坏：星穹铁道》千星纪游PV：「《花火》：幕后纪录」,"当你察觉这只是一场戏，便想离开这个舞台……
却发现《花火》的舞台之外，什么也没有。

中文CV：
花火——赵爽

日文CV：
花火——上田丽奈

英文CV：
花火——Lizzie Freeman

韩文CV：
花火——성예원",BV1cC411W7pH,5316686,21329,22819,11:18,2024-02-25
《崩坏：星穹铁道》EP：「飞来波的圣状（下篇）」,实质上，不妨说，梦不就是一种向错失的现实致敬的行为吗？,BV1F6421u7MP,1676202,3061,3654,03:23,2024-02-21
《崩坏：星穹铁道》EP：「飞来波的圣状（上篇）」,人的欲望必须通过否定而得到满足，而爱意味着把你没有的东西给一个不想要的人。,BV1Eu4m1P7PW,1921086,3494,4413,03:38,2024-02-16
《崩坏：星穹铁道》钟表小子系列动画：「欢迎来到美梦小镇！」,"聪明勇敢的钟表小子开始了冒险之旅！
滴答！可恶的石头老板不怀好意，
滴答！总想把钟表小子置于险地；
但请别担心，滴答——
钟表小子有智慧、钟表小子有勇气！
钟表小子和可靠的伙伴们一起，
会保护美梦，会将坏人赶出去！",BV1H2421c7sX,3269260,11098,8749,04:43,2024-02-13
《崩坏：星穹铁道》动画短片：「太平临新岁」,"新岁始临，万象兴荣。长乐天的街道一角，公输师傅与他的两名助手正为仙舟太平乐的表演忙到不可开交。

中文CV：
公输师傅——邹亮
桂乃芬——小敢
素裳——陈婷婷
景元——孙晔
丹恒——李春胤
青雀——刘十四

日文CV：
公输师傅——近藤浩德
桂乃芬——直田姬奈
素裳——福圆美里
景元——小野大辅
丹恒——伊东健人
青雀——伊达朱里纱

英文CV：
公输师傅——Michael Sorich
桂乃芬——Morgan Lauré
素裳——Anjali Kunapaneni
景元——Alejandro Saab
",BV1oy42187PK,3145064,23943,11168,15:26,2024-02-08
《崩坏：星穹铁道》走近星穹——「米沙：您的盛会之星小帮手」,"欢迎来到「白日梦」酒店。在您初入这场██时，可能会遇到些许困扰。为此，██特地安排了贴心的门童米沙，作为您在梦境之旅中的████。如您需要任何帮助，请与米沙██，他将确保您的████。
敬请收看星际和平娱乐特别节目《走近星穹》——「██：您的██之星███」。

中文CV：
叽米——刘北辰",BV19p421d76F,1463968,6707,9111,05:47,2024-02-07
