视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数
【魂】银魂——武士之魂,https://www.bilibili.com/video/BV1Fx411w7GK,N.ec鱼丸,16836109,796694,473804,448062,91103,542118
燃起来！同步率爆表！当《西游记之大圣归来》MV遇到戴荃老师原创歌曲《悟空》,https://www.bilibili.com/video/BV1cs411S7DX,喵星人听歌,5644299,49264,74167,70187,8726,129445
《复联4》前21部漫威电影，完整的时间线剧情大串联！,https://www.bilibili.com/video/BV1cb411V7Lm,努力的Lorre,9582065,72461,645103,584554,352342,460310
【桃核x麦麥籽】改革春风吹满地！念诗之王x原创编舞x鬼畜第二弹,https://www.bilibili.com/video/BV1Kt41147o3,桃核叫我桃道长,3874471,7084,177646,180290,63076,130717
【2018】年度影视混剪 Ready Story 2018,https://www.bilibili.com/video/BV1Mt411D73n,BenZammer,4933119,28536,478128,373569,122061,349179
【BILIBILI大合作】无限循环祭,https://www.bilibili.com/video/BV1fx411c7v6,平安夜的噩梦,4172906,258705,18086,62157,3533,102258
【燃向】得入暴雪门，无悔游人生（更新OW归来版）,https://www.bilibili.com/video/BV1dx411P79c,暴雪大法好,4618958,43932,65363,57000,24846,138395
【2016拜年祭单品】九九八十一【乐正绫 feat.洛天依】,https://www.bilibili.com/video/BV1es41197ai,没有龟壳的乌龟,14530897,195476,416853,345620,96743,550121
【拜年祭】【合唱】only my bilibili,https://www.bilibili.com/video/BV1hx411w7MG,秋风AKIKAZE,2700267,44040,55759,131469,9779,137078
【敖厂长10】烂尾的游戏冒险(雅达利寻剑),https://www.bilibili.com/video/BV1Ys411H7QK,敖厂长,5829856,194252,1542354,505182,48063,199856
【2017 Bilibili Dancing Festival 主题曲】交织together,https://www.bilibili.com/video/BV1Kx411y7TJ,舞蹈区小锦鲤,3018913,34330,106304,50917,32831,144315
【Animenz】动漫钢琴演奏合集,https://www.bilibili.com/video/BV1ts411D7mf,Animenzzz,8674859,95087,191351,127336,27669,320637
【2017拜年祭单品】万神纪【星尘原创曲】,https://www.bilibili.com/video/BV1Sx41117dD,写歌的海鲜面,7401570,70861,273059,196207,46794,339855
冰雪奇缘X守护者联盟【误解向】Frozen Guardian,https://www.bilibili.com/video/BV1tx411P7N4,时海,4253605,43181,141819,162074,50604,235529
感觉身体被掏空by彩虹室内合唱团,https://www.bilibili.com/video/BV1fs411k7Kj,上海彩虹室内合唱团,4606725,18697,86350,55865,56507,84083
【世界版】Blessing【原创PV】,https://www.bilibili.com/video/BV1Sx411T7L3,茶理理理子,6460931,99934,259980,207257,51338,388398
【2016拜年祭单品】婕纶二重奏,https://www.bilibili.com/video/BV1es41197hA,DDF,4994856,15921,166171,137580,42101,190022
