视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,期数
初中到大学的爱情，你的初恋男友。,https://www.bilibili.com/video/BV1mb411L7uf,一岚子花,551885,4098,17618,25929,5812,7703,4
《复联4》观影指南，6分钟极简版，4大知识点刷完21部漫威电影,https://www.bilibili.com/video/BV1Xb41137Po,努力的Lorre,1129787,4435,26585,40950,33941,12725,5
【漫威/复联4/合作混剪】终章：终局之战,https://www.bilibili.com/video/BV16b41137KX,萌萌中自有天意,868461,3043,67545,61872,11152,60182,5
【ONLee】把男友化成抖森洛基去看《复联4》首映，路人的反应是...,https://www.bilibili.com/video/BV1t441187wJ,ONLee_Studio,1502437,7962,22810,52555,10511,22326,5
B站专访《复联4》剧组：美国队长念bilibili太可爱！,https://www.bilibili.com/video/BV1Kb411L7km,哔斯卡金像奖,3276858,12830,47015,111215,25169,58125,5
papi酱读书日特别篇——荒诞派戏剧四部,https://www.bilibili.com/video/BV1qb41137gd,papi酱,2679982,20162,42484,111176,11829,26163,5
[LPL春季赛] 4月21日 IG vs JDG,https://www.bilibili.com/video/BV1wb41157jT,哔哩哔哩英雄联盟赛事,4370410,77686,31660,46535,5073,24048,5
日语版《绿色》好听爆哭预警！！超火神曲秒变日剧主题歌awsl？！,https://www.bilibili.com/video/BV15b411L7rX,O2O男团,2548681,16367,43824,83480,11852,72042,5
如果把《西游记后传》去掉回放，它还好不好看？,https://www.bilibili.com/video/BV1Vb411G7mq,神烦XP,2905794,15822,81430,109133,5862,29292,5
【老徐的奇妙冒险】只狼真好玩嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿！,https://www.bilibili.com/video/BV1Vb411V7F9,靠脸吃饭的徐大王,2635602,9576,149007,154449,7167,53373,5
如何5秒钟把一首歌变土,https://www.bilibili.com/video/BV1Sb41157BK,朴冉,8462879,36846,182789,389538,45897,139639,5
立体雨伞如何折？简单易学还可以收缩，一步一步教你,https://www.bilibili.com/video/BV1kb41137ty,手工小匠,1832253,5773,74243,121802,16319,211411,5
童年最变态游戏关 12年前劝退无数玩家的噩梦！,https://www.bilibili.com/video/BV1Kb411L79v,神秘店长A,2304343,14426,44628,71606,1536,16395,5
日本宝矿力校园爆燃CM一镜到底广告《宝矿力蓝色之舞 灵魂的呐喊》！,https://www.bilibili.com/video/BV1vb41137R5,瘫倒的Aqua,4567786,5920,97696,201163,116046,247746,5
国产最沙雕的真人版只狼！,https://www.bilibili.com/video/BV1w441187oh,森纳映画,3908440,14839,222518,234080,48341,82982,6
【种族天赋】当丈夫回家遇见老婆和她的男朋友,https://www.bilibili.com/video/BV1t4411t7C8,伊丽莎白鼠,6841143,27652,212924,337328,43184,128980,6
钢铁侠始，钢铁侠终！爱你三千遍！十年终落幕，无悔入漫威！,https://www.bilibili.com/video/BV1jb411G7Ks,战场ヶ原-,6124054,24942,223878,281372,36090,230977,6
竟有两个美队？完全理清《复联4》时间线，搞懂这部电影！（含剧透）,https://www.bilibili.com/video/BV1s4411b7Qx,努力的Lorre,1832585,15684,38286,59073,29754,21804,6
【咬人猫】勾指起誓❤️ 初次自唱跳~原创舞蹈o(*≧▽≦)ツ,https://www.bilibili.com/video/BV1s4411h7ou,=咬人猫=,8439578,18789,214442,256132,31130,138532,6
【老番茄】史上最骚杀手(第五集),https://www.bilibili.com/video/BV1ab411G7Rs,老番茄,18134760,73889,803173,862432,18384,320241,6
B站宝贝,https://www.bilibili.com/video/BV1B4411h7LY,异次元臭豆腐,7420174,28311,316748,492840,14502,217540,6
如何用一只猫来制作音乐,https://www.bilibili.com/video/BV1vb411V7Qc,黄布林布林,702691,7209,94858,88140,9693,45887,6
【敖厂长】难度超变态的沙雕游戏,https://www.bilibili.com/video/BV1v4411h7ya,敖厂长,4421515,18729,169565,178586,5664,35597,6
《火影忍者博人传》沙画动画极限2000幅，沙子绘制的动画效果炸裂堪比原作！,https://www.bilibili.com/video/BV1eb411G7EV,玉译沙画工作室,1445797,11236,372443,267591,22275,129553,6
《纸人》猎奇文化向解说01丨乌盆记.,https://www.bilibili.com/video/BV1q4411b7rD,小熊flippy,1645339,41403,153316,119063,13331,63276,6
华农兄弟：出生20多天的小狗会走了，肥嘟嘟的，带它们晒晒太阳,https://www.bilibili.com/video/BV1B441147XL,华农兄弟,2499198,25730,24050,81815,2466,4866,6
某大学生穿上高中校服偷偷溜进高三某班，会发生什么？（差点被班主任赶出去）,https://www.bilibili.com/video/BV1v4411t7h5,拉宏桑,4723124,31149,73823,196105,7694,34620,7
【真人版 ▪ 铁锤爬山】地狱级挑战，真的能成功登顶吗!!?,https://www.bilibili.com/video/BV1Z4411v78J,J-Bao頻道,2780907,12104,311727,285568,13439,60091,7
《蜘蛛侠：英雄远征》超级预告惊爆来袭！延续复联燃战今夏！,https://www.bilibili.com/video/BV1H4411e77i,鲲鹏万里616,2101481,3872,13783,53984,29851,35473,7
我连一秒都没有拥有过她，却感觉失去过她千万次。,https://www.bilibili.com/video/BV184411x7uq,永远的我的鸟笼Me,17471287,154765,674337,836169,69457,679190,7
什么鬼套路：LOL史上最莽套路 冰火九重天！！！,https://www.bilibili.com/video/BV154411v7Gg,点滴菌,4601593,24131,295726,242995,22555,134337,7
