视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数
毒性大到毒死自己的树,https://www.bilibili.com/video/BV1qn4y1o7cM,维C动物园-,3440510,6602,10267,389271,10531,49552
芬兰表妹一家申请中国签证！庆祝中国行狂炫广式早茶暴风吸入！粤式烧鸭咸水角潮州粉粿简直太惊艳！,https://www.bilibili.com/video/BV1JM4m167P6,雨琪在芬兰,1480512,6327,29578,66082,524,5643
当 代 砍 价 现 状,https://www.bilibili.com/video/BV1Hf42197rE,路路迷路路,1254608,685,9788,133055,2300,8164
带你跳回10年前的那一天！,https://www.bilibili.com/video/BV1Em421T71M,-欣小萌-,1350406,468,14571,66240,1136,18646
「未行之路」——原神双子/空&荧版,https://www.bilibili.com/video/BV18i421m75v,鹿喑kana,1108578,1424,98576,149418,12029,68491
如果我上不同时期的杂志封面，有找回曾经看杂志的感觉吗？你最喜欢哪一张？,https://www.bilibili.com/video/BV1CZ421W7KB,李如儒也是李蠕蠕,4197216,1818,33291,647309,3091,44530
我用石楠花熟成牛排28天，这是人类能吃的东西吗,https://www.bilibili.com/video/BV1di421U7W6,燕子堡BBQ学徒Ray,1559872,6034,82994,121443,24873,14909
《AI永远替代不了体育老师》,https://www.bilibili.com/video/BV1EJ4m137E4,嘞是唐孃孃,1911742,1595,3666,268313,1424,25823
【团建】一场关于友谊的暴力测试,https://www.bilibili.com/video/BV1sM4m167MA,小缸,2029514,18700,165274,108583,7050,33595
快！把他耳机摘掉！！！,https://www.bilibili.com/video/BV1TM4m1z7pz,马哥巨离谱,1499585,1834,34294,136008,6329,7837
英专生就业方向：国货出海,https://www.bilibili.com/video/BV1ET421i71X,ivan吕一帆,4395514,1306,13138,629068,30703,82473
治病救命的鸭嘴钳，居然被说成是“女性刑具”？,https://www.bilibili.com/video/BV1ry411a7nd,nagi真的很文静,2004808,6481,86766,164174,10390,32142
纵使悲鸣无法抗拒——《鸣潮》COSPLAY同人大电影,https://www.bilibili.com/video/BV1u1421i7oB,宫本樱樱酱,873820,701,9370,35614,3094,15214
《鸣潮》公测EP 「Waking of a World」,https://www.bilibili.com/video/BV1VZ421x7Ui,鸣潮先行公约,2082003,496,1736,59284,547,6686
把48岁妈妈打扮成公主切辣妹是什么体验呀,https://www.bilibili.com/video/BV1v7421Z7D8,樱桃老丸子呀呀,1489142,1070,2108,156888,11491,20513
【辉子&秃子2z】“我浑身是铁就想看看能打几颗钉子”|  SoulSenseTWH LIVE,https://www.bilibili.com/video/BV14x4y1p7vo,SoulSenseTWH,831732,1445,27512,37247,12613,17132
